tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0000009,movie,Miss Jerry,Miss Jerry,0,1894,\N,45,Romance
tt0000147,movie,The Corbett-Fitzsimmons Fight,The Corbett-Fitzsimmons Fight,0,1897,\N,20,"Documentary,News,Sport"
tt0000335,movie,Soldiers of the Cross,Soldiers of the Cross,0,1900,\N,\N,"Biography,Drama"
tt0000502,movie,Bohemios,Bohemios,0,1905,\N,100,\N
tt0000574,movie,The Story of the Kelly Gang,The Story of the Kelly Gang,0,1906,\N,70,"Biography,Crime,Drama"
tt0000615,movie,Robbery Under Arms,Robbery Under Arms,0,1907,\N,\N,Drama
tt0000630,movie,Hamlet,Amleto,0,1908,\N,\N,Drama
tt0000675,movie,Don Quijote,Don Quijote,0,1908,\N,\N,Drama
tt0000676,movie,Don Ãlvaro o la fuerza del sino,Don Ãlvaro o la fuerza del sino,0,1908,\N,\N,Drama
tt0000679,movie,The Fairylogue and Radio-Plays,The Fairylogue and Radio-Plays,0,1908,\N,120,"Adventure,Fantasy"
tt0000739,movie,El pastorcito de Torrente,El pastorcito de Torrente,0,1908,\N,\N,Drama
tt0000793,movie,Andreas Hofer,Andreas Hofer,0,1909,\N,\N,Drama
tt0000812,movie,El blocao Velarde,El blocao Velarde,0,1909,\N,\N,\N
tt0000814,movie,La bocana de Mar Chica,La bocana de Mar Chica,0,1909,\N,\N,\N
tt0000838,movie,A Cultura do Cacau,A Cultura do Cacau,0,1909,\N,\N,\N
tt0000842,movie,De Garraf a Barcelona,De Garraf a Barcelona,0,1909,\N,\N,\N
tt0000846,movie,Un dÃ­a en Xochimilco,Un dÃ­a en Xochimilco,0,1909,\N,\N,\N
tt0000850,movie,Los dos hermanos,Los dos hermanos,0,1909,\N,\N,\N
tt0000859,movie,FabricaciÃ³n del corcho en Sant Feliu de Guixols,FabricaciÃ³n del corcho en Sant Feliu de Guixols,0,1909,\N,\N,\N
tt0000862,movie,Faldgruben,Faldgruben,0,1909,\N,\N,\N
tt0000867,movie,Fiesta de toros,Fiesta de toros,0,1909,\N,\N,\N
tt0000868,movie,Fiestas de Santa LucÃ­a - Belenes,Fiestas de Santa LucÃ­a - Belenes,0,1909,\N,\N,\N
tt0000869,movie,Fiestas en La Garriga,Fiestas en La Garriga,0,1909,\N,\N,\N
